Individual,Chromosome,AA_Length,AB_Length,BB_Length
indiv2023,Chr12,305658,17167913,0
indiv2023,Chr13,8954343,7987210,0
indiv2023,Chr14,8443699,4851969,0
indiv2023,Chr15,11802878,6477287,0
indiv2023,Chr16,7679510,6559874,0
indiv2023,Chr17,7259359,9497336,0
indiv2023,Chr18,10172358,5357263,0
indiv2023,Chr19,0,14741089,0
indiv2023,Chr2,8314530,43776,0
indiv2023,Chr20,5102179,7185168,0
indiv2023,Chr21,0,15237350,0
indiv2023,Chr22,7721756,10718296,0
indiv2023,Chr23,9250227,12042111,0
indiv2023,Chr24,14999766,2192783,0
indiv2023,Chr25,1531957,12486374,0
indiv2023,Chr26,1286687,10126236,0
indiv2023,Chr27,10706694,172817,0
indiv2023,Chr28,6532333,3995120,0
indiv2023,Chr3,15167108,0,0
indiv2023,Chr4,15179200,3474380,0
indiv2023,Chr5,11670348,7326303,0
indiv2023,Chr6,0,16516213,0
indiv2023,Chr7,0,13870638,0
indiv2023,Chr8,0,16130156,0
indiv2023,Chr9,7905110,8828301,0
indiv2025,Chr1,0,20564333,0
indiv2025,Chr10,6414209,10950545,0
indiv2025,Chr11,4955375,15425264,0
indiv2025,Chr12,305475,17167913,0
indiv2025,Chr13,17303752,309249,0
indiv2025,Chr14,13294963,0,0
indiv2025,Chr15,9579723,8763297,0
indiv2025,Chr16,13522127,0,0
indiv2025,Chr17,0,16513957,0
indiv2025,Chr18,14685949,843672,0
indiv2025,Chr19,175685,14565517,0
indiv2025,Chr2,0,8361668,0
indiv2025,Chr20,1066505,11262205,0
indiv2025,Chr21,15010505,224762,0
indiv2025,Chr22,15478794,2960964,0
indiv2025,Chr23,13671396,7565767,0
indiv2025,Chr24,17244744,0,0
indiv2025,Chr25,14018372,0,0
indiv2025,Chr26,92005,11344957,0
indiv2025,Chr27,5898678,4975099,0
indiv2025,Chr28,8364812,2122093,0
indiv2025,Chr3,709499,14457609,0
indiv2025,Chr4,18433046,220093,0
indiv2025,Chr5,18996681,0,0
indiv2025,Chr6,3565715,12873733,0
indiv2025,Chr7,505969,13364640,0
indiv2025,Chr8,0,16130156,0
indiv2025,Chr9,16316713,425669,0
indiv2029,Chr1,20284127,0,0
indiv2029,Chr10,10964542,6278149,0
indiv2029,Chr11,2150821,17162197,0
indiv2029,Chr12,305475,17168857,0
indiv2029,Chr13,3259485,14204592,0
indiv2029,Chr14,2683259,10611704,0
indiv2029,Chr15,1715685,16460423,0
indiv2029,Chr16,11040539,3006496,0
indiv2029,Chr17,0,16054544,0
indiv2029,Chr18,14685949,843672,0
indiv2029,Chr19,14741089,0,0
indiv2029,Chr2,8289522,0,0
indiv2029,Chr20,378063,11950647,0
indiv2029,Chr21,13651383,1583884,0
indiv2029,Chr22,478370,17961388,0
indiv2029,Chr23,20942316,338738,0
indiv2029,Chr24,17160186,0,0
indiv2029,Chr25,145331,13873000,0
indiv2029,Chr26,10407964,92005,0
indiv2029,Chr27,0,10706694,0
indiv2029,Chr28,0,10544951,0
indiv2029,Chr3,0,15167108,0
indiv2029,Chr4,18433046,220093,0
indiv2029,Chr5,15848039,3085877,0
indiv2029,Chr6,5884363,10631787,0
indiv2029,Chr7,7856670,6012726,0
indiv2029,Chr8,0,16130156,0
indiv2029,Chr9,16316713,425669,0
indiv2032,Chr1,0,0,20284127
indiv2032,Chr10,6329284,11070736,0
indiv2032,Chr11,0,20393166,0
indiv2032,Chr12,3027014,14409789,0
indiv2032,Chr13,17303752,309249,0
indiv2032,Chr14,13294963,0,0
indiv2032,Chr15,18343020,0,0
indiv2032,Chr16,11113401,3127655,0
indiv2032,Chr17,13642602,3151683,0
indiv2032,Chr18,10389521,5115824,0
indiv2032,Chr19,12539566,2173564,0
indiv2032,Chr2,1708098,6535648,0
indiv2032,Chr20,3762919,8400561,0
indiv2032,Chr21,11507287,3728453,0
indiv2032,Chr22,18439758,0,0
indiv2032,Chr23,5560343,15729898,0
indiv2032,Chr24,12122527,2853867,0
indiv2032,Chr25,0,14018397,0
indiv2032,Chr26,2356030,9059838,0
indiv2032,Chr27,10706694,172817,0
indiv2032,Chr28,133521,10411430,0
indiv2032,Chr3,0,15167544,0
indiv2032,Chr4,0,18653476,0
indiv2032,Chr5,1036167,17957004,0
indiv2032,Chr6,0,16516150,0
indiv2032,Chr7,0,13870609,0
indiv2032,Chr8,0,16130156,0
indiv2032,Chr9,3708688,13039003,0
indiv2039,Chr1,0,20284127,0
indiv2039,Chr10,5620794,11876746,0
indiv2039,Chr11,288443,19110295,0
indiv2039,Chr12,0,16757917,0
indiv2039,Chr13,0,17613001,0
indiv2039,Chr14,3086006,10164496,0
indiv2039,Chr15,16657861,1685159,0
indiv2039,Chr16,6373549,7824285,0
indiv2039,Chr17,15653087,1150263,0
indiv2039,Chr18,14685949,843672,0
indiv2039,Chr19,12116604,2547074,0
indiv2039,Chr2,46478,8314530,0
indiv2039,Chr20,5937948,6363678,0
indiv2039,Chr21,15010505,226372,0
indiv2039,Chr22,13363952,5076100,0
indiv2039,Chr23,1548734,19747522,0
indiv2039,Chr24,0,17253891,0
indiv2039,Chr25,13873000,145372,0
indiv2039,Chr26,11436525,0,0
indiv2039,Chr27,10879794,0,0
indiv2039,Chr28,133521,10410896,0
indiv2039,Chr3,14457609,709499,0
indiv2039,Chr4,220534,18433046,0
indiv2039,Chr5,18155548,841133,0
indiv2039,Chr6,3645966,12864553,0
indiv2039,Chr7,12165615,1668146,0
indiv2039,Chr8,13200008,2927733,0
indiv2039,Chr9,5735782,10988931,0
indiv2040,Chr1,20284127,0,0
indiv2040,Chr10,17400020,0,0
indiv2040,Chr11,288443,20103575,0
indiv2040,Chr12,1022050,16451338,0
indiv2040,Chr13,1731381,15881620,0
indiv2040,Chr14,10611704,2683259,0
indiv2040,Chr15,18343020,0,0
indiv2040,Chr16,123958,13778366,0
indiv2040,Chr17,0,16513729,0
indiv2040,Chr18,14685949,843781,0
indiv2040,Chr19,12709286,1404474,0
indiv2040,Chr2,2523163,5806659,0
indiv2040,Chr20,5463253,6798541,0
indiv2040,Chr21,15010505,224762,0
indiv2040,Chr22,3790659,14649099,0
indiv2040,Chr23,21296256,0,0
indiv2040,Chr24,8562406,7756485,0
indiv2040,Chr25,2178240,11759988,0
indiv2040,Chr26,6287753,3312290,0
indiv2040,Chr27,775257,10104493,0
indiv2040,Chr28,10544417,0,0
indiv2040,Chr3,710061,14457609,0
indiv2040,Chr4,0,18653476,0
indiv2040,Chr5,3079128,15889812,0
indiv2040,Chr6,2264220,14208933,0
indiv2040,Chr7,8107843,5759571,0
indiv2040,Chr8,7405928,8688576,0
indiv2040,Chr9,425669,16316713,0
indiv2041,Chr1,20284127,0,0
indiv2041,Chr10,151510,17400020,0
indiv2041,Chr11,18520318,1820299,0
indiv2041,Chr12,0,17474332,0
indiv2041,Chr13,0,17613151,0
indiv2041,Chr14,0,13296400,0
indiv2041,Chr15,0,18343223,0
indiv2041,Chr16,14148636,123958,0
indiv2041,Chr17,10552575,6209264,0
indiv2041,Chr18,8928563,6561227,0
indiv2041,Chr19,0,14741520,0
indiv2041,Chr2,0,8361668,0
indiv2041,Chr20,0,12043207,0
indiv2041,Chr21,0,15010505,0
indiv2041,Chr22,1067017,17058735,0
indiv2041,Chr23,10236289,10522209,0
indiv2041,Chr24,17160186,84558,0
indiv2041,Chr25,14018331,0,0
indiv2041,Chr26,5061552,6236398,0
indiv2041,Chr27,172817,10706694,0
indiv2041,Chr28,4114059,6310635,0
indiv2041,Chr3,8844958,6319017,0
indiv2041,Chr4,0,18653476,0
indiv2041,Chr5,18155548,841133,0
indiv2041,Chr6,16516902,0,0
indiv2041,Chr7,12094488,1220587,0
indiv2041,Chr8,2788238,13338730,0
indiv2041,Chr9,10198078,6554665,0
indiv2043,Chr1,0,0,20284127
indiv2043,Chr10,1921342,15478678,0
indiv2043,Chr11,4055965,16253948,0
indiv2043,Chr12,3782349,13646174,0
indiv2043,Chr13,17613001,0,0
indiv2043,Chr14,12014650,1231683,0
indiv2043,Chr15,17643958,699062,0
indiv2043,Chr16,14272594,0,0
indiv2043,Chr17,289621,16513729,0
indiv2043,Chr18,13664061,1810546,0
indiv2043,Chr19,9492441,5215617,0
indiv2043,Chr2,0,8358306,0
indiv2043,Chr20,11950647,378063,0
indiv2043,Chr21,9389711,5775297,0
indiv2043,Chr22,479152,17313485,0
indiv2043,Chr23,903299,19993410,0
indiv2043,Chr24,14405601,2848290,0
indiv2043,Chr25,145331,13873000,0
indiv2043,Chr26,9117067,2316689,0
indiv2043,Chr27,4706321,5516735,0
indiv2043,Chr28,133521,10410896,0
indiv2043,Chr3,1861940,13042840,0
indiv2043,Chr4,3654246,14998893,0
indiv2043,Chr5,17306683,1689287,0
indiv2043,Chr6,12196326,4319824,0
indiv2043,Chr7,7393997,6475399,0
indiv2043,Chr8,10872450,5257706,0
indiv2043,Chr9,15964926,425669,0
indiv2044,Chr1,11699309,8563524,0
indiv2044,Chr10,12817270,4582750,0
indiv2044,Chr11,13963373,6374033,0
indiv2044,Chr12,11586772,5887560,0
indiv2044,Chr13,309249,17303752,0
indiv2044,Chr14,9841002,2683259,0
indiv2044,Chr15,17643958,0,0
indiv2044,Chr16,14272594,0,0
indiv2044,Chr17,16803350,0,0
indiv2044,Chr18,843672,14685949,0
indiv2044,Chr19,0,14741089,0
indiv2044,Chr2,8225740,43776,0
indiv2044,Chr20,378063,11950647,0
indiv2044,Chr21,5811047,9418291,0
indiv2044,Chr22,478370,17961388,0
indiv2044,Chr23,20957266,338738,0
indiv2044,Chr24,14443681,2755697,0
indiv2044,Chr25,145372,13873000,0
indiv2044,Chr26,10984842,91675,0
indiv2044,Chr27,10879511,0,0
indiv2044,Chr28,10544417,0,0
indiv2044,Chr3,15167108,0,0
indiv2044,Chr4,220093,18433046,0
indiv2044,Chr5,5804298,12776458,0
indiv2044,Chr6,16024100,492050,0
indiv2044,Chr7,505969,13363427,0
indiv2044,Chr8,13571554,2558602,0
indiv2044,Chr9,2134061,14614554,0
indiv2045,Chr1,8380164,11903963,0
indiv2045,Chr10,0,16976728,0
indiv2045,Chr11,6723377,13303871,0
indiv2045,Chr12,14223626,3250706,0
indiv2045,Chr13,17613151,0,0
indiv2045,Chr14,13295668,0,0
indiv2045,Chr15,699062,17643958,0
indiv2045,Chr16,0,14274141,0
indiv2045,Chr17,12765911,3997055,0
indiv2045,Chr18,6058398,9461358,0
indiv2045,Chr19,14741089,0,0
indiv2045,Chr2,3644322,4666886,0
indiv2045,Chr20,11313934,0,0
indiv2045,Chr21,0,15010978,0
indiv2045,Chr22,6006437,12404332,0
indiv2045,Chr23,19684959,1611400,0
indiv2045,Chr24,17246542,0,0
indiv2045,Chr25,145331,13873000,0
indiv2045,Chr26,0,11436525,0
indiv2045,Chr27,10584210,172817,0
indiv2045,Chr28,2255803,8235015,0
indiv2045,Chr3,8593921,6570374,0
indiv2045,Chr4,12537059,6116521,0
indiv2045,Chr5,18996681,0,0
indiv2045,Chr6,492802,16024100,0
indiv2045,Chr7,1011467,12851416,0
indiv2045,Chr8,14186896,1943315,0
indiv2045,Chr9,5803003,10911345,0
indiv2046,Chr1,16638298,0,3645829
indiv2046,Chr10,0,17400260,0
indiv2046,Chr11,0,20392018,0
indiv2046,Chr12,17167913,305475,0
indiv2046,Chr13,309249,17303835,0
indiv2046,Chr14,0,12469824,0
indiv2046,Chr15,0,17643958,0
indiv2046,Chr16,14148636,123958,0
indiv2046,Chr17,290086,16513957,0
indiv2046,Chr18,6773344,8733146,0
indiv2046,Chr19,14565517,175572,0
indiv2046,Chr2,4280487,4019742,0
indiv2046,Chr20,5005011,7324108,0
indiv2046,Chr21,15235267,0,0
indiv2046,Chr22,3843401,14596836,0
indiv2046,Chr23,5485402,15800802,0
indiv2046,Chr24,17160186,93275,0
indiv2046,Chr25,14018372,0,0
indiv2046,Chr26,92048,11344957,0
indiv2046,Chr27,0,10880033,0
indiv2046,Chr28,3112524,7423749,0
indiv2046,Chr3,14457609,710061,0
indiv2046,Chr4,220093,18433046,0
indiv2046,Chr5,18155548,839791,0
indiv2046,Chr6,492050,16024163,0
indiv2046,Chr7,0,13869396,0
indiv2046,Chr8,9787300,6340686,0
indiv2046,Chr9,1751063,14991319,0
indiv2051,Chr1,393941,0,19457438
indiv2051,Chr10,0,17400020,0
indiv2051,Chr11,4746912,15646254,0
indiv2051,Chr12,8954648,8418523,0
indiv2051,Chr13,17303752,309249,0
indiv2051,Chr14,4300626,8740102,0
indiv2051,Chr15,7400564,10456896,0
indiv2051,Chr16,14148636,123958,0
indiv2051,Chr17,289621,16513729,0
indiv2051,Chr18,0,15529621,0
indiv2051,Chr19,5345948,8881597,0
indiv2051,Chr2,43776,8315190,0
indiv2051,Chr20,9382124,2740097,0
indiv2051,Chr21,0,15235267,0
indiv2051,Chr22,7600078,10718002,0
indiv2051,Chr23,19540014,1557568,0
indiv2051,Chr24,16309963,93705,0
indiv2051,Chr25,14018331,0,0
indiv2051,Chr26,92005,11344520,0
indiv2051,Chr27,3707217,7073039,0
indiv2051,Chr28,10410896,133521,0
indiv2051,Chr3,2578031,12241025,0
indiv2051,Chr4,0,18653476,0
indiv2051,Chr5,18155548,841059,0
indiv2051,Chr6,492050,16024100,0
indiv2051,Chr7,0,13869396,0
indiv2051,Chr8,15514814,615342,0
indiv2051,Chr9,425669,16322022,0
indiv2054,Chr1,20284127,0,0
indiv2054,Chr10,1921342,15478678,0
indiv2054,Chr11,20392607,1148,0
indiv2054,Chr12,305475,17167913,0
indiv2054,Chr13,17303752,309249,0
indiv2054,Chr14,7676037,5618926,0
indiv2054,Chr15,3441631,14855224,0
indiv2054,Chr16,12554267,1711919,0
indiv2054,Chr17,10764801,6029190,0
indiv2054,Chr18,0,15529621,0
indiv2054,Chr19,0,14741520,0
indiv2054,Chr2,6583431,1721751,0
indiv2054,Chr20,10617772,1673967,0
indiv2054,Chr21,11808342,3426925,0
indiv2054,Chr22,0,18440052,0
indiv2054,Chr23,1755990,19540369,0
indiv2054,Chr24,93705,17161298,0
indiv2054,Chr25,13873000,145331,0
indiv2054,Chr26,1309282,10057833,0
indiv2054,Chr27,9884136,172817,0
indiv2054,Chr28,10544417,0,0
indiv2054,Chr3,13292711,1856396,0
indiv2054,Chr4,15623897,3029579,0
indiv2054,Chr5,18996651,0,0
indiv2054,Chr6,492050,16024100,0
indiv2054,Chr7,3595795,10212005,0
indiv2054,Chr8,16130362,0,0
indiv2054,Chr9,425669,16316713,0
indiv2055,Chr1,0,19964835,0
indiv2055,Chr10,4285778,13011432,0
indiv2055,Chr11,18630282,1718722,0
indiv2055,Chr12,12719974,4753597,0
indiv2055,Chr13,16046613,1566388,0
indiv2055,Chr14,7462063,5806713,0
indiv2055,Chr15,17465192,699062,0
indiv2055,Chr16,8260782,6011436,0
indiv2055,Chr17,16513729,290086,0
indiv2055,Chr18,843781,14543530,0
indiv2055,Chr19,14565517,175572,0
indiv2055,Chr2,2725941,5622454,0
indiv2055,Chr20,2978955,9349031,0
indiv2055,Chr21,15010505,224762,0
indiv2055,Chr22,1665932,16773614,0
indiv2055,Chr23,7295900,14000711,0
indiv2055,Chr24,15794861,1291500,0
indiv2055,Chr25,145372,13873025,0
indiv2055,Chr26,10450108,92005,0
indiv2055,Chr27,4497149,6382362,0
indiv2055,Chr28,133710,10410896,0
indiv2055,Chr3,14457609,709499,0
indiv2055,Chr4,220093,18433383,0
indiv2055,Chr5,0,18878261,0
indiv2055,Chr6,0,16024100,0
indiv2055,Chr7,1645425,12212937,0
indiv2055,Chr8,16130307,0,0
indiv2055,Chr9,425669,16322022,0
indiv2056,Chr1,20284127,0,0
indiv2056,Chr10,0,17400020,0
indiv2056,Chr11,0,20393166,0
indiv2056,Chr12,17167913,305658,0
indiv2056,Chr13,309249,17303752,0
indiv2056,Chr14,1852650,11417074,0
indiv2056,Chr15,699062,17643958,0
indiv2056,Chr16,14148636,123958,0
indiv2056,Chr17,289621,16513729,0
indiv2056,Chr18,0,15529621,0
indiv2056,Chr19,5252234,9400131,0
indiv2056,Chr2,8293579,0,0
indiv2056,Chr20,6731490,5404707,0
indiv2056,Chr21,224762,15010505,0
indiv2056,Chr22,0,18439758,0
indiv2056,Chr23,20932172,338738,0
indiv2056,Chr24,14427003,2109184,0
indiv2056,Chr25,1386626,12486374,0
indiv2056,Chr26,0,11436195,0
indiv2056,Chr27,6382362,4225966,0
indiv2056,Chr28,4783583,5701839,0
indiv2056,Chr3,0,15167108,0
indiv2056,Chr4,0,18653476,0
indiv2056,Chr5,18155548,839791,0
indiv2056,Chr6,9046120,7402698,0
indiv2056,Chr7,3909843,9959230,0
indiv2056,Chr8,0,16130156,0
indiv2056,Chr9,16316713,425669,0
indiv2058,Chr1,6790123,0,13298471
indiv2058,Chr10,0,17400020,0
indiv2058,Chr11,5083976,15103648,0
indiv2058,Chr12,2528426,14944962,0
indiv2058,Chr13,0,17613001,0
indiv2058,Chr14,3059574,10235389,0
indiv2058,Chr15,0,18343876,0
indiv2058,Chr16,3159193,11049715,0
indiv2058,Chr17,3355540,13295049,0
indiv2058,Chr18,11896695,3586525,0
indiv2058,Chr19,14120913,0,0
indiv2058,Chr2,8244573,0,0
indiv2058,Chr20,12328710,0,0
indiv2058,Chr21,2446990,12788277,0
indiv2058,Chr22,0,18439758,0
indiv2058,Chr23,1530542,19738436,0
indiv2058,Chr24,16062536,0,0
indiv2058,Chr25,14018331,0,0
indiv2058,Chr26,5302290,3359160,0
indiv2058,Chr27,10879511,0,0
indiv2058,Chr28,2019092,8455507,0
indiv2058,Chr3,6348901,8552427,0
indiv2058,Chr4,9190413,9459262,0
indiv2058,Chr5,18155548,839791,0
indiv2058,Chr6,13904819,1815167,0
indiv2058,Chr7,505969,13363427,0
indiv2058,Chr8,15514814,615342,0
indiv2058,Chr9,5596102,11146280,0
indiv2062,Chr1,20284127,0,0
indiv2062,Chr10,11070736,6278149,0
indiv2062,Chr11,288443,20103575,0
indiv2062,Chr12,8888111,8518461,0
indiv2062,Chr13,17303752,309249,0
indiv2062,Chr14,2683259,10611704,0
indiv2062,Chr15,17643958,699062,0
indiv2062,Chr16,6376707,7817343,0
indiv2062,Chr17,16803350,0,0
indiv2062,Chr18,8479888,7026468,0
indiv2062,Chr19,0,14741089,0
indiv2062,Chr2,0,8045197,0
indiv2062,Chr20,6475860,5423429,0
indiv2062,Chr21,10093965,4215504,0
indiv2062,Chr22,10941663,7439306,0
indiv2062,Chr23,338738,20957621,0
indiv2062,Chr24,0,17244744,0
indiv2062,Chr25,6150442,7862856,0
indiv2062,Chr26,3579385,5544358,0
indiv2062,Chr27,0,10879794,0
